name,arity_profile,avg_arity,max_arity,min_arity,n_edges_d,n_nodes_d,n_predicates,n_rules,n_shapes,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_d,terminates_graph
\rules\program-165.res,[1-10],5.529411765,10,1,484123,123640,51,94739,1696, [5-200), [0-333333),159.18845,7160.2246,285480.03,2914.132,4610.409,290249.62, false
\rules\program-166.res,[1-10],5.27184466,10,1,985615,257986,103,218444,3394, [5-200), [0-333333),303.9734,22231.242,533635.6,5992.5845,8343.078,542282.7, false
\rules\program-167.res,[1-10],5.526315789,10,1,491064,159109,19,126996,716, [5-200), [0-333333),188.024,5386.538,209957.58,3711.0764,1954.6493,212100.27, false
\rules\program-168.res,[1-10],5.510204082,10,1,992353,225468,49,208322,1626, [5-200), [0-333333),277.1234,13558.259,420795.6,6007.1143,4571.6567,425644.38, false
\rules\program-169.res,[1-10],5.644444444,10,1,922807,273122,45,212788,1725, [5-200), [0-333333),301.1842,17479.598,562211.2,6255.6396,4026.8313,566539.2, false
\rules\program-16.res,[1-5],2.931034483,5,1,564664,5141,145,188854,762, [5-200), [0-333333),59.796436,9067.205,2813.427,3614.8916,8216.0625,11089.286, false
\rules\program-170.res,[1-10],5.396226415,10,1,728782,219731,53,174112,1864, [5-200), [0-333333),263.76044,14904.106,304980.66,4976.6943,4807.903,310052.3, false
\rules\program-171.res,[1-10],5.666666667,10,1,823012,142316,18,173079,589, [5-200), [0-333333),189.96999,5504.8506,289496.5,5188.2314,1985.197,291671.66, false
\rules\program-172.res,[1-10],5.05,10,1,284688,70953,20,73325,597, [5-200), [0-333333),94.91745,3603.3901,126853.7,2138.099,1862.478,128811.09, false
\rules\program-174.res,[1-10],5.307692308,10,1,401849,118592,52,91523,1711, [5-200), [0-333333),150.62169,6543.4204,176242.08,2785.6042,4734.7114,181127.42, false
\rules\program-175.res,[1-10],5.663157895,10,1,353240,117444,95,67162,3269, [5-200), [0-333333),148.48701,9171.482,163254.83,2118.5562,7895.8755,171299.19, false
\rules\program-176.res,[1-10],5.172413793,10,1,488248,122882,29,123553,920, [5-200), [0-333333),157.28075,5690.601,291963.94,3401.12,2908.923,295030.16, false
\rules\program-178.res,[1-10],5.52173913,10,1,145866,39986,23,29080,751, [5-200), [0-333333),59.798935,3118.7197,57097.867,974.6584,2426.749,59584.418, false
\rules\program-17.res,[1-5],3.064705882,5,1,680633,7349,170,213397,983, [5-200), [0-333333),43.927113,11759.802,3477.5527,4192.2974,8038.1855,11559.665, false
\rules\program-180.res,[1-10],5.669421488,10,1,915733,309206,121,188594,4524, [5-200), [0-333333),323.94974,29975.51,483066.12,5605.352,10466.737,493856.8, false
\rules\program-181.res,[1-10],5.23880597,10,1,984964,249412,134,201525,3935, [5-200), [0-333333),313.1033,29450.398,360452.4,5634.697,10189.976,370955.47, false
\rules\program-182.res,[1-10],5.25,10,1,351471,105969,60,77773,1874, [5-200), [0-333333),137.20312,6179.287,159770.97,2364.6182,5060.5757,164968.75, false
\rules\program-184.res,[1-10],5.496598639,10,1,315486,110351,147,60832,4834, [5-200), [0-333333),137.48738,7664.1147,162687.8,1848.5228,11553.199,174378.48, false
\rules\program-185.res,[1-10],5.434782609,10,1,402785,138772,161,82026,5586, [5-200), [0-333333),163.66573,11898.142,230318.3,2528.6702,12151.067,242633.03, false
\rules\program-186.res,[1-10],5.382352941,10,1,836164,176624,68,162888,1957, [5-200), [0-333333),226.31717,17408.887,239378.92,4733.619,5549.965,245155.2, false
