name,arity_profile,avg_arity,max_arity,min_arity,n_predicates,n_rules,predicate_profile,rule_profile,t_component,t_graph,t_parse,t_terminate,terminates
synthetic-at-arity/program-140-r.res,[1-5],2.714285714,5,1,28,53641, [5-200), [333333-666666),6.017017,235.95953,1431.9465,242.21893, false
synthetic-at-predicate/program-504-r.res,[1-10],4.75,10,1,16,171909, [5-200), [333333-666666),5.740689,976.9213,5836.515,982.88275, false
synthetic-at-predicate/program-374-r.res,[1-10],5.428571429,10,1,14,140765, [5-200), [0-333333),5.853704,877.0781,5006.3047,883.1519, false
synthetic-at-predicate/program-105-r.res,[1-5],3.017964072,5,1,501,3234, [400-600], [0-333333),9.884678,27.972965,188.39084,38.144386, false
synthetic-at-rules/program-77-r.res,[1-5],2.785714286,5,1,28,97407, [5-200), [700000-800000),6.176136,390.921,2585.034,397.4112, false
synthetic-at-rules/program-56-r.res,[1-5],3,5,1,27,107257, [5-200), [500000-600000),5.909577,441.13104,2876.1536,447.26776, false
synthetic-at-predicate/program-424-r.res,[1-10],5.300791557,10,1,379,1902, [200-400), [0-333333),10.361028,28.14957,165.26361,38.792862, false
synthetic-at-predicate/program-846-r.res,[1-20],8,15,1,10,279749, [5-200), [333333-666666),5.978731,2664.9553,12520.606,2671.1565, false
synthetic-at-predicate/program-4-r.res,[1-5],2.827586207,4,1,29,62762, [5-200), [0-333333),6.663589,221.93283,1532.7793,228.83524, false
synthetic-at-predicate/program-252-r.res,[1-5],3.28,5,1,25,179147, [5-200), [666666-999999),6.375921,783.16034,4528.483,789.76355, false
synthetic-at-arity/program-56-r.res,[1-10],4.764705882,10,1,17,129174, [5-200), [0-333333),6.279357,746.98627,4257.7,753.4902, false
synthetic-at-rules/program-44-r.res,[1-5],2.862068966,5,1,29,73710, [5-200), [400000-500000),6.78911,361.88382,1748.6853,368.92422, false
synthetic-at-rules/program-71-r.res,[1-5],2.862068966,5,1,29,100157, [5-200), [700000-800000),6.71447,396.0412,2604.299,403.00992, false
synthetic-at-arity/program-95-r.res,[1-20],13.66666667,20,5,6,272556, [5-200), [0-333333),6.48619,3789.474,15820.834,3796.1885, false
synthetic-at-predicate/program-520-r.res,[1-10],4.25,9,1,20,149855, [5-200), [333333-666666),6.512759,793.61127,4883.5405,800.3463, false
synthetic-at-rules/program-239-r.res,[1-20],14,19,8,6,300890, [5-200), [300000-400000),6.505101,4620.6475,17707.227,4627.3867, false
synthetic-at-predicate/program-271-r.res,[1-5],3.269230769,5,1,26,173551, [5-200), [666666-999999),6.597171,872.7494,4343.221,879.601, false
synthetic-at-rules/program-9-r.res,[1-5],3.103448276,5,1,29,35780, [5-200), [0-100000),7.658011,211.49657,948.8139,219.39767, false
synthetic-at-predicate/program-819-r.res,[1-20],10.56871036,20,1,473,857, [400-600], [0-333333),13.675872,35.584515,144.94391,49.54786, false
synthetic-at-rules/program-114-r.res,[1-10],5.625,10,1,16,98661, [5-200), [100000-200000),6.905543,567.6248,3276.9138,574.84894, false
synthetic-at-predicate/program-268-r.res,[1-5],3,5,1,31,114878, [5-200), [666666-999999),6.961303,434.46515,2909.559,441.66412, false
synthetic-at-predicate/program-618-r.res,[1-10],4.75,10,1,20,393330, [5-200), [666666-999999),7.117041,2854.6643,12609.248,2862.0186, false
synthetic-at-arity/program-192-r.res,[1-10],4.363636364,9,1,22,221816, [5-200), [333333-666666),7.524855,1300.0194,6653.197,1307.7878, false
synthetic-at-predicate/program-155-r.res,[1-5],3.129032258,5,1,31,110136, [5-200), [333333-666666),7.539349,427.62018,2764.1763,435.47073, false
synthetic-at-arity/program-375-r.res,[1-5],3.125603865,5,1,207,5679, [200-400), [0-333333),10.492752,33.649834,251.6838,44.423294, false
synthetic-at-arity/program-29-r.res,[1-5],3.0625,5,1,32,71603, [5-200), [0-333333),7.217835,385.98898,1787.808,393.5183, false
synthetic-at-rules/program-160-r.res,[1-10],5.705882353,10,1,17,285637, [5-200), [500000-600000),7.663162,1708.5763,9955.739,1716.4747, false
synthetic-at-rules/program-308-r.res,[1-5],2.985347985,5,1,273,5939, [200-400), [0-100000),11.576641,37.453484,261.90585,49.31501, false
synthetic-at-rules/program-200-r.res,[1-10],6.0625,10,1,16,643742, [5-200), [900000-1000000),7.251117,3590.66,20466.158,3598.2085, false
synthetic-at-rules/program-57-r.res,[1-5],3.258064516,5,1,31,154887, [5-200), [500000-600000),8.248111,718.588,4085.0896,727.0686, false
synthetic-at-predicate/program-868-r.res,[1-20],12.375,20,2,8,455153, [5-200), [333333-666666),7.267979,6165.535,25697.559,6173.063, false
synthetic-at-arity/program-209-r.res,[1-20],11.11111111,20,1,9,224162, [5-200), [333333-666666),7.681735,2931.0664,13192.383,2938.9822, false
synthetic-at-rules/program-505-r.res,[1-20],10.88764045,20,1,356,1276, [200-400), [0-100000),13.908097,49.887848,179.95593,64.07881, false
synthetic-at-predicate/program-621-r.res,[1-10],4.08,10,1,25,308282, [5-200), [666666-999999),7.668303,1523.712,9461.474,1531.6143, false
synthetic-at-predicate/program-31-r.res,[1-5],3.21875,5,1,32,72889, [5-200), [0-333333),8.562912,359.47247,1774.1243,368.27515, false
synthetic-at-predicate/program-515-r.res,[1-10],5.2,10,1,20,226502, [5-200), [333333-666666),8.394369,1675.239,7209.9443,1683.8732, false
synthetic-at-predicate/program-48-r.res,[1-5],3.075657895,5,1,304,6570, [200-400), [0-333333),12.643266,42.450645,295.9853,55.395817, false
synthetic-at-arity/program-278-r.res,[1-5],3.028571429,5,1,35,164494, [5-200), [666666-999999),10.379859,881.5855,4002.5532,892.22125, false
synthetic-at-predicate/program-731-r.res,[1-20],8.75,15,1,12,199402, [5-200), [0-333333),7.950331,1720.6492,9161.579,1728.8351, false
synthetic-at-arity/program-255-r.res,[1-5],3.057142857,5,1,35,163830, [5-200), [666666-999999),10.799512,856.6365,3915.4941,867.69354, false
synthetic-at-predicate/program-502-r.res,[1-10],5.944444444,10,1,18,206651, [5-200), [333333-666666),9.007015,1333.6759,7811.656,1342.929, false
synthetic-at-arity/program-223-r.res,[1-20],8.230769231,18,2,13,264740, [5-200), [333333-666666),7.954445,2388.0469,12173.809,2396.2405, false
synthetic-at-rules/program-107-r.res,[1-10],5.5,10,1,192,3824, [5-200), [0-100000),12.742762,45.49459,259.30664,58.530273, false
synthetic-at-predicate/program-263-r.res,[1-5],3.142857143,5,1,35,175599, [5-200), [666666-999999),8.225425,765.77295,4289.728,774.2819, false
synthetic-at-predicate/program-873-r.res,[1-20],15.57142857,18,11,7,341615, [5-200), [333333-666666),7.785908,5482.91,21905.445,5490.9263, false
synthetic-at-rules/program-46-r.res,[1-5],3.333333333,5,1,33,149114, [5-200), [400000-500000),8.901445,675.9489,3606.704,685.0942, false
synthetic-at-rules/program-101-r.res,[1-10],5.703448276,10,1,145,3939, [5-200), [0-100000),13.046378,55.5612,255.571,68.913, false
synthetic-at-rules/program-92-r.res,[1-5],3.027027027,5,1,37,187748, [5-200), [900000-1000000),9.107446,693.87976,4763.614,703.2267, false
synthetic-at-arity/program-54-r.res,[1-10],4.708333333,10,1,24,47805, [5-200), [0-333333),9.175516,335.43298,1679.6729,344.85083, false
synthetic-at-rules/program-22-r.res,[1-5],3.054054054,5,1,37,81979, [5-200), [200000-300000),9.195456,419.0612,1983.9696,428.53143, false
synthetic-at-arity/program-117-r.res,[1-20],7.466666667,19,1,15,155923, [5-200), [0-333333),8.230579,1568.3441,7659.892,1576.8108, false
synthetic-at-arity/program-18-r.res,[1-5],3.062015504,5,1,129,8268, [5-200), [0-333333),11.678532,70.22312,305.42023,82.227936, false
synthetic-at-predicate/program-140-r.res,[1-5],2.659090909,5,1,44,106119, [5-200), [333333-666666),8.801383,405.64944,2613.6536,414.69742, false
synthetic-at-predicate/program-159-r.res,[1-5],2.974358974,5,1,39,104194, [5-200), [333333-666666),10.840398,379.4593,2568.9365,390.5536, false
synthetic-at-arity/program-311-r.res,[1-10],5.272727273,10,1,22,451947, [5-200), [666666-999999),8.341721,2730.5247,15042.713,2739.103, false
synthetic-at-rules/program-402-r.res,[1-10],5.236526946,10,1,334,4510, [200-400), [0-100000),14.300789,47.43932,274.6432,62.02549, false
synthetic-at-predicate/program-617-r.res,[1-10],5.571428571,9,1,21,430827, [5-200), [666666-999999),7.992439,2517.6199,14008.428,2525.851, false
synthetic-at-arity/program-299-r.res,[1-10],5.318181818,10,1,22,359729, [5-200), [666666-999999),7.944205,2439.5742,11939.354,2447.751, false
synthetic-at-predicate/program-272-r.res,[1-5],3.131578947,5,1,38,231924, [5-200), [666666-999999),8.913157,827.9415,5690.7,837.0984, false
synthetic-at-rules/program-40-r.res,[1-5],2.790697674,5,1,43,85577, [5-200), [300000-400000),11.572537,455.71368,2019.4258,467.55838, false
synthetic-at-arity/program-37-r.res,[1-5],3.097560976,5,1,41,34251, [5-200), [0-333333),9.509224,152.34708,872.68317,162.12079, false
synthetic-at-predicate/program-398-r.res,[1-10],5.298507463,10,1,134,4881, [5-200), [0-333333),13.744502,54.88556,284.90112,68.92727, false
synthetic-at-arity/program-4-r.res,[1-5],3.333333333,5,1,36,92767, [5-200), [0-333333),9.51367,363.39212,2459.179,373.1487, false
synthetic-at-rules/program-16-r.res,[1-5],2.795454545,5,1,44,59323, [5-200), [100000-200000),9.183887,228.19456,1471.3666,237.63802, false
synthetic-at-arity/program-108-r.res,[1-20],12,20,3,10,188726, [5-200), [0-333333),9.336003,2719.161,10591.731,2728.7412, false
synthetic-at-arity/program-331-r.res,[1-20],9.307692308,20,1,13,640982, [5-200), [666666-999999),8.168561,7462.0654,30897.406,7470.525, false
synthetic-at-arity/program-2-r.res,[1-5],3.289473684,5,1,38,121927, [5-200), [0-333333),9.609343,477.0809,2963.3694,486.95422, false
synthetic-at-rules/program-53-r.res,[1-5],3.15,5,1,40,161158, [5-200), [500000-600000),10.289446,778.44354,3733.0842,788.9852, false
synthetic-at-rules/program-144-r.res,[1-10],5.434782609,10,1,23,294056, [5-200), [400000-500000),8.688799,1603.8724,9553.719,1612.8231, false
synthetic-at-predicate/program-509-r.res,[1-10],5.47826087,10,1,23,344818, [5-200), [333333-666666),8.631209,2322.8718,11175.817,2331.7375, false
synthetic-at-predicate/program-119-r.res,[1-5],3.022821577,5,1,482,9969, [400-600], [0-333333),17.653109,64.74168,351.60565,82.699554, false
synthetic-at-arity/program-154-r.res,[1-5],3.071428571,5,1,42,170248, [5-200), [333333-666666),9.213281,859.6171,4100.595,869.07, false
synthetic-at-predicate/program-990-r.res,[1-20],9.769230769,19,2,13,591883, [5-200), [666666-999999),8.751231,6234.0444,27016.389,6243.0264, false
synthetic-at-predicate/program-245-r.res,[1-5],3.046511628,5,1,43,231070, [5-200), [666666-999999),9.082851,814.68616,5595.6143,824.00726, false
synthetic-at-arity/program-183-r.res,[1-10],5.608695652,10,1,23,224429, [5-200), [333333-666666),8.704588,1755.741,7358.096,1764.6932, false
synthetic-at-arity/program-291-r.res,[1-10],4.678571429,10,1,28,401087, [5-200), [666666-999999),8.994544,2446.1973,12629.287,2455.4492, false
synthetic-at-predicate/program-428-r.res,[1-10],5.340336134,10,1,238,5833, [200-400), [0-333333),14.940334,69.416405,305.00858,84.64807, false
synthetic-at-predicate/program-442-r.res,[1-10],5.335106383,10,1,564,5497, [400-600], [0-333333),14.140484,63.80448,289.2977,78.23598, false
synthetic-at-arity/program-78-r.res,[1-10],5.739130435,10,1,23,173304, [5-200), [0-333333),9.060775,1016.217,5793.35,1025.5222, false
synthetic-at-rules/program-72-r.res,[1-5],2.8125,5,1,48,155177, [5-200), [700000-800000),10.482475,701.6778,3663.1035,712.4123, false
synthetic-at-predicate/program-487-r.res,[1-10],6.045454545,10,1,22,230195, [5-200), [333333-666666),11.537829,1435.5818,8276.966,1447.3651, false
synthetic-at-rules/program-188-r.res,[1-10],5.541666667,10,1,24,569980, [5-200), [800000-900000),8.959368,3278.2075,17101.168,3287.3967, false
synthetic-at-rules/program-142-r.res,[1-10],5.153846154,10,1,26,296927, [5-200), [400000-500000),9.439073,1555.6139,9484.858,1565.295, false
synthetic-at-rules/program-94-r.res,[1-5],2.956521739,5,1,46,204903, [5-200), [900000-1000000),11.523643,718.33167,5087.485,730.10187, false
synthetic-at-rules/program-199-r.res,[1-10],5.44,10,1,25,560194, [5-200), [900000-1000000),9.638055,3342.2683,17218.59,3352.148, false
synthetic-at-predicate/program-1-r.res,[1-5],3.127272727,5,1,110,12929, [5-200), [0-333333),16.646894,101.18581,406.82242,118.122055, false
synthetic-at-rules/program-83-r.res,[1-5],2.916666667,5,1,48,186014, [5-200), [800000-900000),14.581791,941.92993,4339.3867,956.76776, false
synthetic-at-predicate/program-497-r.res,[1-10],6,10,1,23,407954, [5-200), [333333-666666),9.928645,2894.2869,13982.007,2904.4514, false
synthetic-at-rules/program-273-r.res,[1-20],10.61538462,17,3,13,723800, [5-200), [700000-800000),9.66791,7371.7974,33186.348,7381.708, false
synthetic-at-predicate/program-419-r.res,[1-10],5.502325581,10,1,215,6385, [200-400), [0-333333),18.20765,73.86994,333.1748,92.38052, false
synthetic-at-predicate/program-122-r.res,[1-5],3.302325581,5,1,43,213676, [5-200), [333333-666666),13.215575,733.50946,5286.5396,746.9709, false
synthetic-at-rules/program-608-r.res,[1-5],3.014028056,5,1,499,12444, [400-600], [0-100000),17.121096,76.60938,401.64612,94.02525, false
synthetic-at-arity/program-158-r.res,[1-5],2.788461538,5,1,52,121109, [5-200), [333333-666666),13.987505,391.96732,2761.9893,406.22534, false
synthetic-at-arity/program-134-r.res,[1-5],2.846153846,5,1,52,161635, [5-200), [333333-666666),15.862915,593.4983,3745.41,609.6109, false
synthetic-at-predicate/program-275-r.res,[1-5],3.340909091,5,1,44,249675, [5-200), [666666-999999),13.098539,896.39087,5801.4336,909.7603, false
synthetic-at-arity/program-92-r.res,[1-20],12.2195122,20,2,41,3151, [5-200), [0-333333),14.977734,69.405235,308.76468,84.66594, false
synthetic-at-arity/program-72-r.res,[1-10],5.884615385,10,1,26,44911, [5-200), [0-333333),12.223599,380.33353,1610.467,392.81693, false
synthetic-at-predicate/program-254-r.res,[1-5],3.217391304,5,1,46,243785, [5-200), [666666-999999),15.963434,918.50476,5858.724,934.747, false
synthetic-at-predicate/program-26-r.res,[1-5],3.011049724,5,1,181,14394, [5-200), [0-333333),14.604734,84.19542,436.04868,99.079155, false
synthetic-at-predicate/program-247-r.res,[1-5],3.191489362,5,1,47,242857, [5-200), [666666-999999),10.595075,890.4939,5926.897,901.33093, false
synthetic-at-predicate/program-759-r.res,[1-20],9.3125,18,3,16,58532, [5-200), [0-333333),12.624185,559.96765,2689.166,572.8602, false
synthetic-at-rules/program-102-r.res,[1-10],5.303030303,10,1,66,9102, [5-200), [0-100000),14.116891,67.020706,400.95764,81.41115, false
synthetic-at-predicate/program-491-r.res,[1-10],4.6875,9,1,32,313981, [5-200), [333333-666666),22.408497,1604.406,9429.094,1627.1226, false
synthetic-at-rules/program-24-r.res,[1-5],2.724137931,5,1,58,71837, [5-200), [200000-300000),12.495439,312.13153,1684.3054,324.88928, false
synthetic-at-rules/program-198-r.res,[1-10],5.428571429,10,1,28,503554, [5-200), [900000-1000000),10.543061,3339.5327,16452.314,3350.3206, false
synthetic-at-rules/program-11-r.res,[1-5],2.944444444,5,1,54,71290, [5-200), [100000-200000),13.578521,263.24045,1738.8326,277.1131, false
synthetic-at-predicate/program-108-r.res,[1-5],3.050239234,5,1,418,14434, [400-600], [0-333333),18.339312,87.2826,433.78784,105.91513, false
synthetic-at-arity/program-172-r.res,[1-10],5.275862069,10,1,29,332625, [5-200), [333333-666666),10.459477,1866.7063,10614.638,1877.4009, false
synthetic-at-arity/program-75-r.res,[1-10],7.285714286,10,1,21,162522, [5-200), [0-333333),11.962683,1330.9194,6090.241,1343.1285, false
synthetic-at-rules/program-27-r.res,[1-5],2.981132075,5,1,53,102758, [5-200), [200000-300000),15.365154,363.441,2515.4946,379.0783, false
synthetic-at-predicate/program-377-r.res,[1-10],5.740740741,10,1,27,172899, [5-200), [0-333333),11.817278,1069.4967,5698.0146,1081.5779, false
synthetic-at-predicate/program-498-r.res,[1-10],5.961538462,10,1,26,361643, [5-200), [333333-666666),11.076418,2402.2097,12161.914,2413.524, false
synthetic-at-arity/program-753-r.res,[1-5],3.055555556,5,1,468,14979, [400-600], [0-333333),20.178316,88.275764,444.0121,108.75375, false
synthetic-at-predicate/program-379-r.res,[1-10],5.452631579,10,1,95,8945, [5-200), [0-333333),18.750551,97.965866,406.17398,117.00931, false
synthetic-at-rules/program-86-r.res,[1-5],3.098039216,5,1,51,235744, [5-200), [800000-900000),12.344985,806.7283,5634.4546,819.3242, false
synthetic-at-rules/program-306-r.res,[1-5],3.098550725,5,1,345,15138, [200-400), [0-100000),19.513266,76.91134,451.26697,96.72872, false
synthetic-at-predicate/program-157-r.res,[1-5],3.018867925,5,1,53,182611, [5-200), [333333-666666),14.353334,666.30316,4571.788,680.9104, false
synthetic-at-predicate/program-2-r.res,[1-5],2.918918919,5,1,74,27346, [5-200), [0-333333),15.204602,111.207535,729.7816,126.66966, false
synthetic-at-arity/program-789-r.res,[1-10],5.226069246,10,1,491,8506, [400-600], [0-333333),19.83915,85.07203,387.4277,105.20089, false
synthetic-at-predicate/program-244-r.res,[1-5],2.745762712,5,1,59,191868, [5-200), [666666-999999),11.938282,796.88293,4430.03,809.0605, false
synthetic-at-rules/program-97-r.res,[1-5],3.037735849,5,1,53,236882, [5-200), [900000-1000000),13.013329,883.20325,5659.161,896.47675, false
