name,arity_profile,avg_arity,db_size,max_arity,min_arity,n_predicates,n_rules,n_shapes,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_shapes_q,t_terminate_graph_d,terminates_graph
program33,[1-5],2.986338798,250000,5,1,366,615427,2341, [200-400), [333333-666666),299.89252,69620.375,35103.188,11701.308,307295.1,31029.13,342698.2, false
program33,[1-5],2.986338798,500000,5,1,366,615427,2762, [200-400), [333333-666666),305.07074,67771.875,34013.574,11514.32,416447.72,64306,450766.38, false
program34,[1-5],2.99122807,1000,5,1,342,953528,1202, [200-400), [666666-999999),343.13397,88702.195,62988.19,17112.889,70466.91,3185.88,133798.23, false
program34,[1-5],2.99122807,50000,5,1,342,953528,1829, [200-400), [666666-999999),327.06375,70428.484,70598.67,17051.924,162553.17,7108.51,233478.9, false
program34,[1-5],2.99122807,100000,5,1,342,953528,1942, [200-400), [666666-999999),337.7088,90423.34,68845.71,17159.113,179177.36,13681.08,248360.78, false
program34,[1-5],2.99122807,250000,5,1,342,953528,2215, [200-400), [666666-999999),320.25116,87035.58,64430.402,17192.252,292362.53,32269.39,357113.2, false
program34,[1-5],2.99122807,500000,5,1,342,953528,2608, [200-400), [666666-999999),334.61932,82577.5,66574.02,17271.277,391140.94,61819.71,458049.56, false
program35,[1-5],2.962962963,1000,5,1,108,273173,377, [5-200), [0-333333),99.7537,12753.164,12563.1875,5570.4272,21990.8,1282.29,34653.74, false
program35,[1-5],2.962962963,50000,5,1,108,273173,582, [5-200), [0-333333),89.56712,12745.677,12227.817,5422.7466,34476.07,2451.33,46793.453, false
program35,[1-5],2.962962963,100000,5,1,108,273173,620, [5-200), [0-333333),86.2664,13061.566,12458.66,5423.8228,39495.99,4200.11,52040.914, false
program35,[1-5],2.962962963,250000,5,1,108,273173,718, [5-200), [0-333333),127.38881,11361.209,12584.806,5335.724,74175.56,9738.22,86887.75, false
program35,[1-5],2.962962963,500000,5,1,108,273173,845, [5-200), [0-333333),85.79811,12721.959,12290.769,5509.4062,108278.38,17871.96,120654.95, false
program36,[1-5],2.977272727,1000,5,1,220,779630,765, [200-400), [666666-999999),298.62067,66876.78,56232.79,14475.169,44285.69,2582.1,100817.09, false
program36,[1-5],2.977272727,50000,5,1,220,779630,1147, [200-400), [666666-999999),293.92606,46133.043,56786.418,14256.572,102137.86,4149.5,159218.2, false
program36,[1-5],2.977272727,100000,5,1,220,779630,1212, [200-400), [666666-999999),257.38864,47137.418,54139.215,14185.313,117662.36,7382.06,172058.97, false
program36,[1-5],2.977272727,250000,5,1,220,779630,1393, [200-400), [666666-999999),267.0118,45407.73,50026.137,14156.39,202342.47,19203.96,252635.62, false
program36,[1-5],2.977272727,500000,5,1,220,779630,1646, [200-400), [666666-999999),256.85614,38749.49,39916.92,14136.199,265481.16,37526.52,305654.94, false
program37,[1-5],2.795555556,1000,5,1,225,639199,706, [200-400), [333333-666666),247.8523,34486.45,35584.707,11424.253,48684.47,2465.77,84517.02, false
program37,[1-5],2.795555556,50000,5,1,225,639199,1055, [200-400), [333333-666666),236.84486,41069.266,34328.316,11433.47,103290.48,3264.76,137855.64, false
program37,[1-5],2.795555556,100000,5,1,225,639199,1110, [200-400), [333333-666666),250.57217,42513.363,33347.215,11418.885,108149.56,5859.06,141747.34, false
program37,[1-5],2.795555556,250000,5,1,225,639199,1235, [200-400), [333333-666666),239.38661,45828.332,36279.223,11151.921,205850.98,14659.87,242369.6, false
program37,[1-5],2.795555556,500000,5,1,225,639199,1440, [200-400), [333333-666666),228.40279,48102.875,35362.348,11644.542,238465.19,29468.38,274055.94, false
program38,[1-5],3.03131524,1000,5,1,479,222675,1719, [400-600], [0-333333),160.2063,16189.035,10043.98,4364.651,81695.67,927.16,91899.86, false
program38,[1-5],3.03131524,50000,5,1,479,222675,2602, [400-600], [0-333333),229.22464,13815.438,10922.434,4371.931,208428.16,7712.14,219579.81, false
program38,[1-5],3.03131524,100000,5,1,479,222675,2762, [400-600], [0-333333),217.40495,16403.27,8460.94,4501.344,235015.83,15877.06,243694.17, false
program38,[1-5],3.03131524,250000,5,1,479,222675,3157, [400-600], [0-333333),182.11227,13444.518,8780.917,4375.3164,387934.6,44234.74,396897.62, false
program38,[1-5],3.03131524,500000,5,1,479,222675,3722, [400-600], [0-333333),216.57166,14358.434,8929.806,4370.156,531991.3,88034.77,541137.7, false
program39,[1-5],2.838709677,1000,5,1,155,562255,509, [5-200), [333333-666666),215.84575,26049.895,30010.885,10307.691,28123.97,1788.83,58350.695, false
program39,[1-5],2.838709677,50000,5,1,155,562255,757, [5-200), [333333-666666),208.29785,33130.336,29753.77,10167.801,67711.56,2893.8,97673.625, false
program39,[1-5],2.838709677,100000,5,1,155,562255,795, [5-200), [333333-666666),169.70403,32245.125,29969.826,10015.404,57254.59,4797.16,87394.125, false
program39,[1-5],2.838709677,250000,5,1,155,562255,899, [5-200), [333333-666666),166.54234,23461.18,29922.275,10131.779,108558.03,11207.46,138646.84, false
program39,[1-5],2.838709677,500000,5,1,155,562255,1060, [5-200), [333333-666666),161.1941,25633.99,28614.633,10466.242,152232.64,23023.43,181008.47, false
program4,[1-5],3.392156863,1000,5,1,51,179001,199, [5-200), [0-333333),81.50684,7011.8145,12971.577,3753.9756,9708.14,461.61,22761.219, false
program4,[1-5],3.392156863,50000,5,1,51,179001,319, [5-200), [0-333333),93.47259,6025.8867,11307.086,3737.9202,18254.21,1198.39,29654.771, false
program4,[1-5],3.392156863,100000,5,1,51,179001,336, [5-200), [0-333333),92.34348,5207.5947,8970.417,3723.0374,21035.89,2184.97,30098.645, false
program4,[1-5],3.392156863,250000,5,1,51,179001,394, [5-200), [0-333333),87.08729,6024.735,11512.35,3697.733,39545.66,5035.4,51145.1, false
program4,[1-5],3.392156863,500000,5,1,51,179001,467, [5-200), [0-333333),97.70993,6230.7505,11208.833,3682.6921,56955.3,10619.27,68261.84, false
program40,[1-5],2.983372922,1000,5,1,421,121605,1471, [400-600], [0-333333),95.909325,6388.9097,4690.9336,2482.124,62261.89,4359.13,67048.734, false
program40,[1-5],2.983372922,50000,5,1,421,121605,2225, [400-600], [0-333333),87.41687,7099.7915,4359.7144,2545.4001,182111.9,8801.36,186559.03, false
program40,[1-5],2.983372922,100000,5,1,421,121605,2356, [400-600], [0-333333),160.30342,7168.2563,5169.38,2537.1428,232743.52,15336.04,238073.2, false
program40,[1-5],2.983372922,250000,5,1,421,121605,2694, [400-600], [0-333333),185.90395,6176.614,4390.7197,2541.657,378633.1,36966.86,383209.72, false
program40,[1-5],2.983372922,500000,5,1,421,121605,3181, [400-600], [0-333333),162.15373,7353.645,6530.3945,2514.9863,496684.5,76106.62,503377.06, false
program41,[1-5],2.981818182,1000,5,1,440,472210,1541, [400-600], [333333-666666),240.90381,46485.47,20980.297,8864.63,88741.23,5259.34,109962.43, false
