name,arity_profile,avg_arity,max_arity,min_arity,n_components,n_components_d,n_edges,n_edges_d,n_exist_vars,n_facts,n_nodes,n_nodes_d,n_predicates,n_rules,n_shapes,n_spacial_components,n_spacial_components_d,n_special_edges,n_special_edges_d,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_avg,t_terminate_graph_d,t_terminate_graph_std,t_vlog,terminates_graph,total_t
\predicate\program-444-small.res,[1-5], 3.0029761904761907, 5.0, 1.0, 0, 143, 2139682, 1930359, 297640, 33600000, 1009, 13519, 336.0, 595246, 1857, 0, 1, 408310, 306066, [200-400), [333333-666666), 116.020226, 41419.566, 10393.608, 11039.981, 15493.42,NaN, 26003.049,NaN,null, false,null
\predicate\program-38-small.res,[1-5], 3.0579710144927534, 5.0, 1.0, 0, 51, 433585, 624717, 99103, 13800000, 422, 5436, 138.0, 198085, 768, 0, 1, 111466, 100693, [5-200), [0-333333), 48.53854, 8520.083, 3127.0942, 3765.2551, 6762.9844,NaN, 9938.617,NaN,null, false,null
\arity\program-61-small.res,[1-5], 2.730769230769231, 5.0, 1.0, 0, 1, 55118, 675485, 247074, 5200000, 142, 1840, 52.0, 494341, 259, 0, 1, 18034, 115369, [5-200), [333333-666666), 55.865417, 6595.097, 7538.078, 8629.503, 2598.9473,NaN, 10192.891,NaN,null, false,null
\rules\program-764-small.res,[1-10], 5.506398537477148, 10.0, 1.0, 0, 159413, 1786795, 404183, 38390, 54700000, 3012, 164831, 547.0, 76589, 18586, 0, 1, 141317, 64530, [400-600], [0-333333), 222.46873, 6430.2676, 258198.47, 2450.3481, 41380.8,NaN, 299801.75,NaN,null, false, 308998.0
\predicate\program-220-small.res,[1-5], 3.073529411764706, 5.0, 1.0, 0, 47, 483162, 2427554, 473393, 13600000, 418, 5111, 136.0, 947045, 763, 0, 1, 165477, 410719, [5-200), [666666-999999), 132.10123, 33206.062, 21769.137, 17047.422, 6956.037,NaN, 28857.275,NaN,null, false,null
\rules\program-200-small.res,[1-10], 5.564516129032258, 10.0, 1.0, 0, 242637, 330998, 1035323, 104231, 6200000, 345, 261480, 62.0, 207977, 2067, 0, 1, 112223, 169071, [5-200), [0-333333), 309.8823, 22578.666, 343970.4, 6127.2603, 5131.518,NaN, 349411.8,NaN,null, false, 378409.3
\predicate\program-66-small.res,[1-10], 5.373684210526315, 10.0, 1.0, 0, 209959, 1672513, 672487, 68279, 19000000, 1021, 219604, 190.0, 136664, 6140, 0, 1, 213061, 107963, [5-200), [0-333333), 262.71146, 15874.454, 300831.78, 4018.0393, 14286.827,NaN, 315381.3,NaN,null, false,null
\rules\program-323-small.res,[1-5], 3.1196172248803826, 5.0, 1.0, 0, 94, 965589, 1064402, 157608, 20900000, 652, 8983, 209.0, 315256, 1206, 0, 1, 213281, 170634, [200-400), [0-333333), 71.820114, 23499.26, 4854.8594, 6218.1733, 9497.655,NaN, 14424.335,NaN,null, false, 44383.22
\arity\program-83-small.res,[1-5], 3.125, 5.0, 1.0, 0, 21, 62213, 1043260, 275881, 4800000, 150, 2077, 48.0, 551058, 291, 0, 1, 21150, 183017, [5-200), [333333-666666), 63.470253, 11312.994, 11116.078, 10723.561, 2582.4854,NaN, 13762.034,NaN,null, false, 35989.277
\rules\program-318-small.res,[1-5], 3.0170648464163823, 5.0, 1.0, 0, 404, 1022579, 546732, 76538, 29300000, 884, 11455, 293.0, 153006, 1615, 0, 1, 130178, 85251, [200-400), [0-333333), 59.446907, 10553.041, 2060.7856, 3126.0461, 13250.778,NaN, 15371.011,NaN,null, false, 29322.44
